site_id,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,source,additional_references,outlier,hygiene_c1,hygiene_c2,hygience_c3,hygiene_c4,hygiene_c5,hygiene_a1,hygiene_a2,hygiene_a3,hygiene_a4,hygiene_sum,remarks
TCEC191,Chagha Sefid,,,UCLA-310,unknown,,9530,145,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC191,Chagha Sefid,,,UGa-291,unknown,,7730,110,,Bohner2004-ba,"Hole 1977, Hole 1987",FALSE,,,,,,,,,,,
TCEC192,Choga Mami,,,BM-483,charcoal,,6846,182,,Bohner2004-ba,"Oates 1972, Burleigh et al. 1977, Hole 1987, Bernbeck 1994",FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,I,,Beta-335608,charcoal,,9637,54,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,II,,Beta-335610,,Triticum,9831,82,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,III,,Erl-14838,,Hordeum,9788,84,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,IV,,Erl-14839,,Hordeum,10037,94,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,III,,Erl-14840,,Poaceae,9839,81,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,VIII,,KIA-43836,plant remains,Hordeum,10656,53,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,XI,,KIA-44944,plant remains,Hordeum,11054,129,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
TCEC54,Chogha Golan,XII,,KIA-45647,plant remains,Hordeum,11740,187,,Darabi2015-jm,Riehl et al. 2013,FALSE,,,,,,,,,,,
,Dalma,,,P-503,soil,,5986,87,,Bohner2004-ba,"Stuckenrath 1963, Hole 1987, Chataigner 1995",FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,,,Erl-14835,,Fabaceae,9228,39,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,,,Erl-14836,shell,Pistacia,8928,37,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,,,Erl-14837,,Fabaceae,8709,37,,Darabi2015-jm,Riehl et al. 2012,FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,2026,,OxA-20994,charcoal,,8750,45,,Darabi2015-jm,Darabi et al.2012,FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,2028,,OxA-21028,charcoal,,8830,45,,Darabi2015-jm,Darabi et al.2012,FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,2037,,OxA-21029,charcoal,,8830,45,,Darabi2015-jm,Darabi et al.2012,FALSE,,,,,,,,,,,
TCEC55,East Chia Sabz,2042,,OxA-21030,charcoal,,9015,39,,Darabi2015-jm,Darabi et al.2012,FALSE,,,,,,,,,,,
