site_id,source_id,lchto_id,name,name2,latitude,longitude,coord_precision,coord_source,morphology,chronology,short_period,period_LP,period_MP,period_UP,period_EP,period_N0,period_N1.1,period_N1.2,period_N2,period_N3,period_C1,period_C2,period_C3,period_B,period_H,area,finds_n,excavated,references,comments
234,,,Tol-e Basi,,,,,,,Neolithic,N,,,,,?,?,?,?,?,,,,,,,,,Pollock et al. 2010,
235,,,Shanidar,,36.8006,44.2433,,Wikipedia,Cave,"Middle Palaeolithic, PPN",MP+N,,x,,,x,,,,,,,,,,,,1,,
236,,,Tepe Rahmatabad,,,,,,,Pre-Pottery Neolithic,,,,,,x,,,,,,,,,,,,,Bernbeck et al. 2008; Azizi Kharanaghi et al. 2013,
237,,,Zarzi,,35.816,45.024,,Literature,Cave,Epipalaeolithic,EP,,,,x,,,,,,,,,,,,,1,Garrod 1930; Wahida 1981; Wahida 1999; Frahm & Tryon 2018,
238,,,Hajji Firuz Tepe,,36.9944,45.4744,,Wikipedia,Tell,,,,,,,,,,,,,,,,,,,1,,
239,,,Wezmeh,Wezmeh Cave,34.05556,46.645,,Literature,Cave,"Late Pleistocene, Chalcolithic",UP+CH,,,?,?,,,,,,?,?,?,,,,,1,Trinkhaus et al. 2008,
240,,,Huto,Belt,36.65,53.28,,CONTEXT,Cave,,,,,,,,,,,,,,,,,,,1,Coon 1951,
241,,,Kamarband,Belt,36.65,53.28,,CONTEXT,Cave,,,,,,,,,,,,,,,,,,,1,Coon 1951,
242,,,Kani Mikaeil,,,,,,Cave,Chalcolithic,,,,,,,,,,,?,?,?,,,,,,Hashemi et al. 2006,
243,,,Nade-Ali Beigh Tepe,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,Karanvasara,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,Demirköy,,37.96,41.12,,ORIGINS,,PPNA,,,,,,,,,,,,,,,,,,,,
246,,,Hallan Çemi,Hallan Çemi Tepesi,38.23,41.25,,ORIGINS,,Late Epipalaeolithic/PPNA,,,,,,,,,,,,,,,,,,,,
247,,,Yarim Tepe,,36.28,42.36,,ORIGINS,,Halaf–Hassuna,,,,,,,,,,,,,,,,,,,,
248,,,Hasankeyf Höyük,,37.710354,41.42493,,COMPAG,,,,,,,,,,,,,,,,,,,,,,
249,,,Salat Cami Yanı,,37.813443,40.90865,,COMPAG,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,Mahidasht 1,,34.66557,46.66514,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
252,,,Mahidasht 2,,34.6463,46.66849,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
253,,,Mahidasht 3,,34.6019,46.6333,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
254,,,Mahidasht 4,,34.58681,46.72798,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
255,,,Mahidasht 5,,34.51811,46.71541,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
256,,,Mahidasht 6,,34.51308,46.72379,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
257,,,Mahidasht 7,,34.40249,46.65425,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
258,,,Mahidasht 8,,34.37149,46.69865,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
259,,,Mahidasht 9,,34.32876,46.73552,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
260,,,Mahidasht 10,,34.30865,46.70955,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
261,,,Mahidasht 11,,34.2567,46.73719,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
262,,,Mahidasht 12,,34.27848,46.74641,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
263,,,Mahidasht 13,,34.24665,46.77993,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
264,,,Mahidasht 14,,34.32792,46.79333,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
265,,,Mahidasht 15,,34.33043,46.80003,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
266,,,Mahidasht 16,,34.32289,46.80506,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
267,,,Mahidasht 17,,34.31786,46.81093,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
268,,,Mahidasht 18,,34.28351,46.81428,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
269,,,Mahidasht 19,,34.27346,46.82601,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
270,,,Mahidasht 20,,34.26843,46.82266,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
271,,,Mahidasht 21,,34.30948,46.83774,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
272,,,Mahidasht 22,,34.26173,46.8436,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
273,,,Mahidasht 23,,34.23324,46.84695,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
274,,,Mahidasht 24,,34.28435,46.86455,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
275,,,Mahidasht 25,,34.23827,46.89974,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
276,,,Mahidasht 26,,34.23324,46.90728,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
277,,,Mahidasht 27,,34.25419,46.91147,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
278,,,Mahidasht 28,,34.26173,46.91147,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
279,,,Mahidasht 29,,34.23575,46.94498,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
280,,,Mahidasht 30,,34.28603,46.96425,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
281,,,Mahidasht 31,,34.29608,46.98687,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
282,,,Mahidasht 32,,34.24832,47.09998,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
283,,,Mahidasht 33,,34.22151,47.26169,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
284,,,Mahidasht 34,,34.29608,47.2508,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
285,,,Mahidasht 35,,34.32205,47.21812,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
286,,,Mahidasht 36,,34.34132,47.18796,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
287,,,Mahidasht 37,,34.33211,47.1578,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
288,,,Mahidasht 38,,34.42176,46.97431,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
289,,,Mahidasht 39,,34.47035,46.98436,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
290,,,Mahidasht 40,,34.44187,47.01955,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
291,,,Mahidasht 41,,34.44857,47.0229,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
292,,,Mahidasht 42,,34.467,47.06061,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
293,,,Mahidasht 43,,34.48376,47.03715,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
294,,,Mahidasht 44,,34.49549,46.99525,500,Map,,"Neolithic (""J-Ware"")",N,,,,,?,?,?,?,?,,,,,,,,,Levine 1977,Site name unknown
295,,,Mahidasht 45,,34.71333011,46.68105847,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
296,,,Mahidasht 46,,34.68484311,46.66346356,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
297,,,Mahidasht 47,,34.66473464,46.67184209,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
298,,,Mahidasht 48,,34.64797758,46.67351779,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
299,,,Mahidasht 49,,34.61613916,46.67016638,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
300,,,Mahidasht 50,,34.60273351,46.64167938,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
301,,,Mahidasht 51,,34.57676007,46.64754435,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
302,,,Mahidasht 52,,34.59100357,46.68022062,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
303,,,Mahidasht 53,,34.59519284,46.69278841,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
304,,,Mahidasht 54,,34.58765216,46.73551891,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
305,,,Mahidasht 55,,34.57257081,46.74724886,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
306,,,Mahidasht 56,,34.54324595,46.69278841,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
307,,,Mahidasht 57,,34.52397533,46.67435564,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
308,,,Mahidasht 58,,34.51894821,46.72127541,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
309,,,Mahidasht 59,,34.52900245,46.73551891,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
310,,,Mahidasht 60,,34.40081094,46.6626257,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
311,,,Mahidasht 61,,34.38154032,46.71038332,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
312,,,Mahidasht 62,,34.37148608,46.70619406,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
313,,,Mahidasht 63,,34.36310755,46.717924,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
314,,,Mahidasht 64,,34.35221546,46.7321675,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
315,,,Mahidasht 65,,34.32624202,46.74389744,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
316,,,Mahidasht 66,,34.30613355,46.71708615,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
317,,,Mahidasht 67,,34.27429513,46.71876185,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
318,,,Mahidasht 68,,34.25334881,46.74389744,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
319,,,Mahidasht 69,,34.27513299,46.75311383,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
320,,,Mahidasht 70,,34.24497028,46.78579009,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
321,,,Mahidasht 71,,34.23156463,46.79584433,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
322,,,Mahidasht 72,,34.2357539,46.8017093,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
323,,,Mahidasht 73,,34.24245672,46.80924998,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
324,,,Mahidasht 74,,34.24161887,46.81343924,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
325,,,Mahidasht 75,,34.23072678,46.85030478,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
326,,,Mahidasht 76,,34.26005163,46.84946692,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
327,,,Mahidasht 77,,34.27010587,46.83270986,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
328,,,Mahidasht 78,,34.2659166,46.82768275,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
329,,,Mahidasht 79,,34.26926802,46.81008783,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
330,,,Mahidasht 80,,34.32707987,46.79835789,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
331,,,Mahidasht 81,,34.32707987,46.80673642,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
332,,,Mahidasht 82,,34.32875558,46.81343924,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
333,,,Mahidasht 83,,34.32205276,46.81092569,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
334,,,Mahidasht 84,,34.31534993,46.81679066,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
335,,,Mahidasht 85,,34.31451208,46.82935845,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
336,,,Mahidasht 86,,34.3212149,46.8427641,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
337,,,Mahidasht 87,,34.30780925,46.8427641,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
338,,,Mahidasht 88,,34.31199852,46.85030478,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
339,,,Mahidasht 89,,34.3052957,46.84946692,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
340,,,Mahidasht 90,,34.28267366,46.8712511,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
341,,,Mahidasht 91,,34.25334881,46.88800816,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
342,,,Mahidasht 92,,34.2374296,46.90308952,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
343,,,Mahidasht 93,,34.23240248,46.91146805,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
344,,,Mahidasht 94,,34.24078101,46.91984658,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
345,,,Mahidasht 95,,34.25502451,46.91817087,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
346,,,Mahidasht 96,,34.25921378,46.91733302,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
347,,,Mahidasht 97,,34.48375839,46.96676634,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
348,,,Mahidasht 98,,34.49381262,46.99944261,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
349,,,Mahidasht 99,,34.46951488,46.98938838,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
350,,,Mahidasht 100,,34.44856856,47.03044317,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
351,,,Mahidasht 101,,34.47956912,47.03128103,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
352,,,Mahidasht 102,,34.5013533,47.04636238,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
353,,,Mahidasht 103,,34.46700133,47.06228159,500,Map,,Ubaid,CH,,,,,,,,,,?,?,?,,,,,,Levine 1977,Site name unknown
